# Data for the a4a model 
# Full age range
 1 10 
# Full year range
 1957 2017 
# Number of surveys
 1 
# Survey min ages
 1 
# Survey max ages
 10 
# Survey time as a fraction into the year (one for each survey)
 0.6453376 
# fbar range
 2 6 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 830 
# Observation data frame 
# fleet	year	age	observation	weights
1	1957	1	0.388926506037242	1
1	1957	2	0.327070573252545	1
1	1957	3	1.00857184748158	1
1	1957	4	0.669968247607043	1
1	1957	5	0.0969031962577152	1
1	1957	6	-0.968528778372809	1
1	1957	7	-0.876303867929375	1
1	1957	8	-1.10400930959348	1
1	1957	9	-1.66145104040089	1
1	1957	10	-0.899008871648546	1
1	1958	1	0.921461199594221	1
1	1958	2	0.90149069916213	1
1	1958	3	0.586516568321064	1
1	1958	4	0.84484556349198	1
1	1958	5	0.213980456760165	1
1	1958	6	-0.282127204610738	1
1	1958	7	-1.21726851139954	1
1	1958	8	-1.21230395172167	1
1	1958	9	-1.41221590986527	1
1	1958	10	-0.672504476540013	1
1	1959	1	1.23975681878275	1
1	1959	2	1.4271247255997	1
1	1959	3	1.02439845534107	1
1	1959	4	0.266005721598754	1
1	1959	5	0.403985193931177	1
1	1959	6	-0.195185739299916	1
1	1959	7	-0.703523512022686	1
1	1959	8	-1.57359549330927	1
1	1959	9	-1.42904862395274	1
1	1959	10	-0.54838784713429	1
1	1960	1	1.21299200636839	1
1	1960	2	1.66441348306716	1
1	1960	3	1.39353639237998	1
1	1960	4	0.575864474519291	1
1	1960	5	-0.187081680814291	1
1	1960	6	-0.0578629621139584	1
1	1960	7	-0.730522892692884	1
1	1960	8	-1.09123283130755	1
1	1960	9	-1.84096927918005	1
1	1960	10	-0.624274776243158	1
1	1961	1	1.29067781352708	1
1	1961	2	1.54008573946724	1
1	1961	3	1.55675426342364	1
1	1961	4	0.914694134223382	1
1	1961	5	0.114629540812501	1
1	1961	6	-0.67457372532602	1
1	1961	7	-0.615993821676598	1
1	1961	8	-1.16308751610443	1
1	1961	9	-1.48860062318681	1
1	1961	10	-0.83919650339039	1
1	1962	1	0.821521322373702	1
1	1962	2	1.62631372001935	1
1	1962	3	1.50194976120252	1
1	1962	4	1.12384538414237	1
1	1962	5	0.470267542740171	1
1	1962	6	-0.34017126025573	1
1	1962	7	-1.19764201521856	1
1	1962	8	-1.08423776178041	1
1	1962	9	-1.61261098799405	1
1	1962	10	-0.755717226526372	1
1	1963	1	0.584735002319889	1
1	1963	2	1.3495733094265	1
1	1963	3	1.71896427145391	1
1	1963	4	1.06459496170411	1
1	1963	5	0.693898828265443	1
1	1963	6	0.067803282739094	1
1	1963	7	-0.855339559257587	1
1	1963	8	-1.68409796860734	1
1	1963	9	-1.46180620577346	1
1	1963	10	-0.552726724902415	1
1	1964	1	1.75704035854133	1
1	1964	2	1.39563256611135	1
1	1964	3	1.47293337054581	1
1	1964	4	1.14252805492299	1
1	1964	5	0.601734710237631	1
1	1964	6	0.283543896696628	1
1	1964	7	-0.526458768690221	1
1	1964	8	-1.38333147832146	1
1	1964	9	-2.02407513788327	1
1	1964	10	-0.382764623461462	1
1	1965	1	0.366136648761053	1
1	1965	2	2.73719037900568	1
1	1965	3	1.45072834454996	1
1	1965	4	0.751621654133782	1
1	1965	5	0.619370618040094	1
1	1965	6	0.11335751122135	1
1	1965	7	-0.429256310344307	1
1	1965	8	-1.12785736142781	1
1	1965	9	-1.79539938040522	1
1	1965	10	-0.561231110641261	1
1	1966	1	0.315092011956658	1
1	1966	2	1.34569351988624	1
1	1966	3	2.77169107030332	1
1	1966	4	0.751913926370015	1
1	1966	5	0.195359374007291	1
1	1966	6	0.0596385258685341	1
1	1966	7	-0.636243651230016	1
1	1966	8	-1.05102252946518	1
1	1966	9	-1.60190388647525	1
1	1966	10	-0.767542734737019	1
1	1967	1	0.271349435383733	1
1	1967	2	1.22279709478704	1
1	1967	3	1.42782515753371	1
1	1967	4	2.19520850189253	1
1	1967	5	0.206514114870128	1
1	1967	6	-0.360303998734024	1
1	1967	7	-0.616425753097184	1
1	1967	8	-1.19850804007932	1
1	1967	9	-1.50945767686918	1
1	1967	10	-0.817088577099723	1
1	1968	1	0.597304547171989	1
1	1968	2	1.04659004174978	1
1	1968	3	1.28883614620314	1
1	1968	4	0.906177926564428	1
1	1968	5	1.69360052137061	1
1	1968	6	-0.277360516187564	1
1	1968	7	-0.943125604268074	1
1	1968	8	-1.11772910092323	1
1	1968	9	-1.6193540158195	1
1	1968	10	-0.715308103270743	1
1	1969	1	1.33020369130497	1
1	1969	2	1.10833863579404	1
1	1969	3	0.94736467427329	1
1	1969	4	0.724045937435321	1
1	1969	5	0.458396791360983	1
1	1969	6	1.27287003055412	1
1	1969	7	-0.841650812225904	1
1	1969	8	-1.45614869607471	1
1	1969	9	-1.5430400435651	1
1	1969	10	-0.622718413454638	1
1	1970	1	1.40503739813189	1
1	1970	2	1.53247006671106	1
1	1970	3	0.829505103401249	1
1	1970	4	0.360228784887582	1
1	1970	5	0.312287166119635	1
1	1970	6	0.0419930282249226	1
1	1970	7	0.683438330929656	1
1	1970	8	-1.38910502230834	1
1	1970	9	-1.89171300639842	1
1	1970	10	-0.52618068131704	1
1	1971	1	0.92787088313678	1
1	1971	2	1.47841926379232	1
1	1971	3	1.24812507456375	1
1	1971	4	0.318443054334439	1
1	1971	5	-0.0418536226429786	1
1	1971	6	-0.123076245076115	1
1	1971	7	-0.521554303501562	1
1	1971	8	0.160986262981151	1
1	1971	9	-1.8034308518243	1
1	1971	10	-0.562691387244264	1
1	1972	1	0.746773034859633	1
1	1972	2	1.06219698873266	1
1	1972	3	1.32024063152892	1
1	1972	4	0.849415128566562	1
1	1972	5	-0.0875127581085291	1
1	1972	6	-0.486077781057963	1
1	1972	7	-0.630498365746844	1
1	1972	8	-0.990691332739466	1
1	1972	9	-0.225649053094116	1
1	1972	10	-0.622639425520614	1
1	1973	1	2.13996614575496	1
1	1973	2	0.97758985649032	1
1	1973	3	0.983577442806775	1
1	1973	4	0.942745943332584	1
1	1973	5	0.383666703357422	1
1	1973	6	-0.588932640618463	1
1	1973	7	-1.00858668433009	1
1	1973	8	-1.09215065476062	1
1	1973	9	-1.37448493258959	1
1	1973	10	-0.0840089375652138	1
1	1974	1	2.01110844153973	1
1	1974	2	2.36670804148526	1
1	1974	3	0.836529337740911	1
1	1974	4	0.503233640361652	1
1	1974	5	0.338712975438714	1
1	1974	6	-0.25805058937169	1
1	1974	7	-1.21354245193267	1
1	1974	8	-1.51525043943768	1
1	1974	9	-1.50046120381486	1
1	1974	10	-0.267863559954254	1
1	1975	1	1.86926692620355	1
1	1975	2	2.10351209350942	1
1	1975	3	2.08408402951919	1
1	1975	4	0.239956100518675	1
1	1975	5	-0.229787704328931	1
1	1975	6	-0.42614982614178	1
1	1975	7	-0.956046260390735	1
1	1975	8	-1.75624538433119	1
1	1975	9	-1.95949077759131	1
1	1975	10	-0.484024597490446	1
1	1976	1	1.86565261459642	1
1	1976	2	1.75875371842968	1
1	1976	3	1.72724430503041	1
1	1976	4	1.48902570163902	1
1	1976	5	-0.479693348830578	1
1	1976	6	-0.958916832813033	1
1	1976	7	-1.07064662445818	1
1	1976	8	-1.48908882033564	1
1	1976	9	-2.23760998419322	1
1	1976	10	-0.781358639382381	1
1	1977	1	2.37449937873768	1
1	1977	2	1.59128856145567	1
1	1977	3	1.36507955002638	1
1	1977	4	1.20894529979439	1
1	1977	5	0.893456965347628	1
1	1977	6	-1.06840060207936	1
1	1977	7	-1.51612163040595	1
1	1977	8	-1.59942628969873	1
1	1977	9	-2.01433734197423	1
1	1977	10	-1.08936371985709	1
1	1978	1	2.19627611815169	1
1	1978	2	2.04152809711176	1
1	1978	3	1.20254686722116	1
1	1978	4	0.879148259718717	1
1	1978	5	0.698011204160544	1
1	1978	6	0.365797638485143	1
1	1978	7	-1.64745024517871	1
1	1978	8	-2.08801435379681	1
1	1978	9	-2.15905076020693	1
1	1978	10	-1.24684579307571	1
1	1979	1	2.10448001898803	1
1	1979	2	1.92454470854801	1
1	1979	3	1.6629512763279	1
1	1979	4	0.668164112118131	1
1	1979	5	0.333688400369949	1
1	1979	6	0.0973453615933355	1
1	1979	7	-0.31453023920518	1
1	1979	8	-2.27055315275347	1
1	1979	9	-2.65795827343917	1
1	1979	10	-1.33477343348861	1
1	1980	1	2.06422536902431	1
1	1980	2	2.0230381975259	1
1	1980	3	1.57446120362376	1
1	1980	4	1.02072734859954	1
1	1980	5	-0.00399466679163574	1
1	1980	6	-0.375917834985971	1
1	1980	7	-0.631775993982162	1
1	1980	8	-0.957170066884393	1
1	1980	9	-2.84844060664095	1
1	1980	10	-1.46332127737579	1
1	1981	1	1.85769406198234	1
1	1981	2	2.23161696132147	1
1	1981	3	1.70355444976883	1
1	1981	4	0.810324940605762	1
1	1981	5	0.216020079152019	1
1	1981	6	-0.760704648792311	1
1	1981	7	-1.0632557303839	1
1	1981	8	-1.27659192469925	1
1	1981	9	-1.55596615272818	1
1	1981	10	-1.59270311468815	1
1	1982	1	2.57182699145924	1
1	1982	2	2.15439436099296	1
1	1982	3	1.90842046121189	1
1	1982	4	0.877870616814414	1
1	1982	5	-0.0621381260812992	1
1	1982	6	-0.54496702678248	1
1	1982	7	-1.41029369159235	1
1	1982	8	-1.70440849802081	1
1	1982	9	-1.86099159140382	1
1	1982	10	-1.26229297244948	1
1	1983	1	2.37888301638314	1
1	1983	2	2.7719577444056	1
1	1983	3	1.81597349841359	1
1	1983	4	1.14661666984752	1
1	1983	5	0.0227599560998204	1
1	1983	6	-0.820669164993143	1
1	1983	7	-1.1832792252575	1
1	1983	8	-1.99665829819315	1
1	1983	9	-2.21081590461041	1
1	1983	10	-1.25715073560737	1
1	1984	1	2.43474641085049	1
1	1984	2	2.38724813950634	1
1	1984	3	2.43540270379581	1
1	1984	4	1.17185107644836	1
1	1984	5	0.36164204187768	1
1	1984	6	-0.708517781151617	1
1	1984	7	-1.4347276164775	1
1	1984	8	-1.69519026827404	1
1	1984	9	-2.45462937373497	1
1	1984	10	-1.42184846277496	1
1	1985	1	2.78339123721688	1
1	1985	2	2.3213620154457	1
1	1985	3	2.05976688985246	1
1	1985	4	1.86346739704378	1
1	1985	5	0.464261673699792	1
1	1985	6	-0.33376768583468	1
1	1985	7	-1.32660495818134	1
1	1985	8	-1.94506232840546	1
1	1985	9	-2.18501996801767	1
1	1985	10	-1.5976694269885	1
1	1986	1	3.622363932949	1
1	1986	2	2.66807381403104	1
1	1986	3	1.9982056828962	1
1	1986	4	1.489700461817	1
1	1986	5	1.20265688838478	1
1	1986	6	-0.228419452153259	1
1	1986	7	-1.02631860613735	1
1	1986	8	-1.91721587463941	1
1	1986	9	-2.47430023158905	1
1	1986	10	-1.52483507823398	1
1	1987	1	2.72751890411918	1
1	1987	2	3.58859441305435	1
1	1987	3	2.34572460979571	1
1	1987	4	1.37720391243757	1
1	1987	5	0.823154859964067	1
1	1987	6	0.477595578096572	1
1	1987	7	-1.01916476105476	1
1	1987	8	-1.70747580211934	1
1	1987	9	-2.44773548770272	1
1	1987	10	-1.46913957885545	1
1	1988	1	2.55936383606446	1
1	1988	2	2.80631562499491	1
1	1988	3	3.25030875145312	1
1	1988	4	1.63218094813472	1
1	1988	5	0.66748690294413	1
1	1988	6	0.0728169921660431	1
1	1988	7	-0.376153119836578	1
1	1988	8	-1.77990798245828	1
1	1988	9	-2.29484938200135	1
1	1988	10	-1.52046356541149	1
1	1989	1	2.13668191797633	1
1	1989	2	2.71850827540478	1
1	1989	3	2.4381000711491	1
1	1989	4	2.4576695206387	1
1	1989	5	0.900234842873159	1
1	1989	6	-0.0922151095420922	1
1	1989	7	-0.848248541535643	1
1	1989	8	-1.23139945140881	1
1	1989	9	-2.48470444235366	1
1	1989	10	-1.73235000191344	1
1	1990	1	1.95954435389795	1
1	1990	2	2.33364664277978	1
1	1990	3	2.36371262323808	1
1	1990	4	1.66258506270727	1
1	1990	5	1.76352884672377	1
1	1990	6	0.131957504679487	1
1	1990	7	-1.08010299211289	1
1	1990	8	-1.72012187925811	1
1	1990	9	-1.92667462935058	1
1	1990	10	-1.98475340992363	1
1	1991	1	1.87088584414127	1
1	1991	2	2.19049792768483	1
1	1991	3	2.04270310609538	1
1	1991	4	1.66815220541465	1
1	1991	5	1.02575329861646	1
1	1991	6	0.994385092845304	1
1	1991	7	-0.84777510951861	1
1	1991	8	-1.83267208511949	1
1	1991	9	-2.24665639631994	1
1	1991	10	-1.72862094953473	1
1	1992	1	1.7588648888953	1
1	1992	2	2.12544888425285	1
1	1992	3	1.94143587961477	1
1	1992	4	1.38650054574281	1
1	1992	5	1.05029006147696	1
1	1992	6	0.280739534137089	1
1	1992	7	0.0978612783476631	1
1	1992	8	-1.4863105009494	1
1	1992	9	-2.25863554600591	1
1	1992	10	-1.59707413547534	1
1	1993	1	1.28515873682841	1
1	1993	2	1.98883170992813	1
1	1993	3	1.84472237011463	1
1	1993	4	1.2485167370172	1
1	1993	5	0.744970027830746	1
1	1993	6	0.340695822789202	1
1	1993	7	-0.56056555671306	1
1	1993	8	-0.624315685891288	1
1	1993	9	-2.09283020637249	1
1	1993	10	-1.65830581592054	1
1	1994	1	1.17037976367064	1
1	1994	2	1.48952519261279	1
1	1994	3	1.68471299755264	1
1	1994	4	1.12298480759289	1
1	1994	5	0.578821309406132	1
1	1994	6	0.0424585234731971	1
1	1994	7	-0.520995355422956	1
1	1994	8	-1.47800209247044	1
1	1994	9	-1.52449964532491	1
1	1994	10	-1.89043199685726	1
1	1995	1	1.47770633888004	1
1	1995	2	1.49150511541689	1
1	1995	3	1.30076974893474	1
1	1995	4	1.01319129392994	1
1	1995	5	0.436090853821408	1
1	1995	6	-0.144378997488046	1
1	1995	7	-0.832413790326353	1
1	1995	8	-1.48025592801506	1
1	1995	9	-2.43222245728362	1
1	1995	10	-1.75775238479778	1
1	1996	1	1.29043500674337	1
1	1996	2	2.08319076931616	1
1	1996	3	1.49517905077997	1
1	1996	4	0.661584910117789	1
1	1996	5	0.295053599281024	1
1	1996	6	-0.297574789059755	1
1	1996	7	-0.975953733059011	1
1	1996	8	-1.67803621871585	1
1	1996	9	-2.2824529960847	1
1	1996	10	-1.93629496020661	1
1	1997	1	2.24119269668351	1
1	1997	2	2.17951695215347	1
1	1997	3	2.12516672104927	1
1	1997	4	0.710742398026497	1
1	1997	5	-0.132769639158195	1
1	1997	6	-0.447032715679368	1
1	1997	7	-1.12090788500688	1
1	1997	8	-1.77311864683985	1
1	1997	9	-2.39277592451643	1
1	1997	10	-1.88147788230499	1
1	1998	1	1.15272497517376	1
1	1998	2	3.18853350173435	1
1	1998	3	2.03590655794653	1
1	1998	4	1.08645122109088	1
1	1998	5	-0.173363787143611	1
1	1998	6	-0.928628834822785	1
1	1998	7	-1.39005686352786	1
1	1998	8	-2.042341210834	1
1	1998	9	-2.5605997781966	1
1	1998	10	-1.96276721586329	1
1	1999	1	1.14923138838763	1
1	1999	2	1.86556484608509	1
1	1999	3	2.85978005216816	1
1	1999	4	0.970133507920869	1
1	1999	5	0.179043366343167	1
1	1999	6	-1.08245787414809	1
1	1999	7	-2.05157858513031	1
1	1999	8	-2.43815100479706	1
1	1999	9	-2.88072697583027	1
1	1999	10	-2.20245437853221	1
1	2000	1	1.4907949265889	1
1	2000	2	1.56538764223389	1
1	2000	3	1.62667559517515	1
1	2000	4	2.12445435860084	1
1	2000	5	0.125777465142626	1
1	2000	6	-0.828560124763554	1
1	2000	7	-2.24095976028412	1
1	2000	8	-3.00519960713931	1
1	2000	9	-3.17483507097118	1
1	2000	10	-2.49187027760932	1
1	2001	1	1.21446643663969	1
1	2001	2	1.86971111785054	1
1	2001	3	1.59305530972481	1
1	2001	4	1.16312509544915	1
1	2001	5	1.33465558770533	1
1	2001	6	-0.859599844864077	1
1	2001	7	-1.81835529800342	1
1	2001	8	-2.99006930649861	1
1	2001	9	-3.69900864098515	1
1	2001	10	-2.72353776818656	1
1	2002	1	2.24564391351719	1
1	2002	2	1.78318545546117	1
1	2002	3	1.93004439593464	1
1	2002	4	0.990391634881387	1
1	2002	5	0.362504417495563	1
1	2002	6	0.488566528488171	1
1	2002	7	-1.70730745871168	1
1	2002	8	-2.59408050054444	1
1	2002	9	-3.88715886841186	1
1	2002	10	-2.95783922572674	1
1	2003	1	1.15424270437784	1
1	2003	2	2.91096196668192	1
1	2003	3	1.54860029046116	1
1	2003	4	0.948057076823869	1
1	2003	5	0.161086158918335	1
1	2003	6	-0.366799615871802	1
1	2003	7	-0.402905322221153	1
1	2003	8	-2.76663172077346	1
1	2003	9	-3.76004330729103	1
1	2003	10	-3.084154539511	1
1	2004	1	2.09643932777949	1
1	2004	2	1.62455131683075	1
1	2004	3	2.37518467837432	1
1	2004	4	0.399536617710657	1
1	2004	5	0.123977380705497	1
1	2004	6	-0.57695465197693	1
1	2004	7	-1.38852311323746	1
1	2004	8	-1.65761234586693	1
1	2004	9	-3.97840838674149	1
1	2004	10	-3.07948933634053	1
1	2005	1	1.7848237093669	1
1	2005	2	2.23684799848269	1
1	2005	3	1.07009766339109	1
1	2005	4	1.40369435941836	1
1	2005	5	-0.40406754319204	1
1	2005	6	-0.680727783502149	1
1	2005	7	-1.60498467580583	1
1	2005	8	-2.53087370065043	1
1	2005	9	-2.72234312498057	1
1	2005	10	-3.1977102250911	1
1	2006	1	1.6347556122504	1
1	2006	2	1.80062491270576	1
1	2006	3	1.84590078361756	1
1	2006	4	0.270961986450441	1
1	2006	5	0.598090145931057	1
1	2006	6	-1.19542132721645	1
1	2006	7	-1.54321298765672	1
1	2006	8	-2.53138303517638	1
1	2006	9	-3.55192988351867	1
1	2006	10	-2.80918837612968	1
1	2007	1	1.88692206833862	1
1	2007	2	1.81360383772594	1
1	2007	3	1.48210226014287	1
1	2007	4	1.00977057896988	1
1	2007	5	-0.532327217491263	1
1	2007	6	-0.0922839544967466	1
1	2007	7	-1.88714115532832	1
1	2007	8	-2.39916483124505	1
1	2007	9	-3.66862634233433	1
1	2007	10	-2.98069615995733	1
1	2008	1	1.68153199455423	1
