# Data for the a4a model 
# Full age range
 0 4 
# Full year range
 2003 2021 
# Number of surveys
 1 
# Survey min ages
 1 
# Survey max ages
 4 
# Survey time as a fraction into the year (one for each survey)
 0.6 
# fbar range
 1 3 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 171 
# Observation data frame 
# fleet	year	age	observation	weights
1	2003	0	0.186469236595423	1
1	2003	1	2.64284119862501	1
1	2003	2	1.43422924862539	1
1	2003	3	-0.702329765277196	1
1	2003	4	-2.27130721392093	1
1	2004	0	0.355305339401072	1
1	2004	1	2.26292599652139	1
1	2004	2	0.713051379351785	1
1	2004	3	-1.6751652624784	1
1	2004	4	-2.67901979254475	1
1	2005	0	0.317261108061499	1
1	2005	1	2.31840944396305	1
1	2005	2	1.20844007221225	1
1	2005	3	-1.61220307363403	1
1	2005	4	-3.99736582159221	1
1	2006	0	0.62801118127265	1
1	2006	1	2.44601729834336	1
1	2006	2	1.62983675651755	1
1	2006	3	-0.98177453326463	1
1	2006	4	-2.87550278019427	1
1	2007	0	0.352181836279406	1
1	2007	1	2.6005335687447	1
1	2007	2	1.65741663885458	1
1	2007	3	-0.925215590254282	1
1	2007	4	-2.64871995192814	1
1	2008	0	0.237615510934297	1
1	2008	1	2.71542755683668	1
1	2008	2	0.793654440638805	1
1	2008	3	-1.8510376059891	1
1	2008	4	-3.9696948213775	1
1	2009	0	0.398560237317573	1
1	2009	1	2.18486988703061	1
1	2009	2	1.18245885172636	1
1	2009	3	-1.03301929655014	1
1	2009	4	-2.53352564298618	1
1	2010	0	-1.45972093200409	1
1	2010	1	2.07990030645655	1
1	2010	2	1.18079284804973	1
1	2010	3	-1.04152143214519	1
1	2010	4	-2.50157066602432	1
1	2011	0	-0.396466340880814	1
1	2011	1	2.16527186642927	1
1	2011	2	1.24676281198791	1
1	2011	3	-0.842299638372103	1
1	2011	4	-2.74580198244343	1
1	2012	0	-0.773766807703204	1
1	2012	1	2.15659622810633	1
1	2012	2	1.05347817077291	1
1	2012	3	-1.20541301060665	1
1	2012	4	-2.89457039537943	1
1	2013	0	1.38909578684443	1
1	2013	1	2.37355253318739	1
1	2013	2	1.09640181418535	1
1	2013	3	-0.993427496644212	1
1	2013	4	-2.8169552679999	1
1	2014	0	1.89681590434405	1
1	2014	1	2.90650667835542	1
1	2014	2	1.48972561762233	1
1	2014	3	-0.872966153898497	1
1	2014	4	-2.3273178620979	1
1	2015	0	2.07157434758383	1
1	2015	1	2.93185928498644	1
1	2015	2	1.49148852976622	1
1	2015	3	-0.888509935641141	1
1	2015	4	-2.98335408425621	1
1	2016	0	-1.48998876290164	1
1	2016	1	2.6696321040239	1
1	2016	2	1.56890018139406	1
1	2016	3	-0.716733265846107	1
1	2016	4	-2.36466079450831	1
1	2017	0	0.829409256252098	1
1	2017	1	3.01148497145416	1
1	2017	2	1.79566624892518	1
1	2017	3	-0.583253291845088	1
1	2017	4	-2.41964558034913	1
1	2018	0	-0.271344429761581	1
1	2018	1	2.72147875517827	1
1	2018	2	1.67862178221198	1
1	2018	3	-0.695429460488089	1
1	2018	4	-2.60976123694055	1
1	2019	0	-0.688036029748442	1
1	2019	1	2.29565447865822	1
1	2019	2	1.35486651019479	1
1	2019	3	-0.897372912599332	1
1	2019	4	-2.74340604059523	1
1	2020	0	-1.67850168540451	1
1	2020	1	1.68679633615527	1
1	2020	2	0.925937859432776	1
1	2020	3	-1.02544394421304	1
1	2020	4	-3.08626401540514	1
1	2021	0	-0.541340932000812	1
1	2021	1	2.03628278016754	1
1	2021	2	1.32522224598171	1
1	2021	3	-0.888234235925324	1
1	2021	4	-2.49633324994036	1
2	2003	1	2.82384466595458	1
2	2003	2	1.41844998299356	1
2	2003	3	-1.00094837163625	1
2	2003	4	-3.47201096594362	1
2	2004	1	2.31302861209482	1
2	2004	2	0.574800048082807	1
2	2004	3	-1.4921204613208	1
2	2004	4	-3.49799445161443	1
2	2005	1	2.03415545077984	1
2	2005	2	0.403850582289373	1
2	2005	3	-1.70682898911582	1
2	2005	4	-3.63260789077765	1
2	2006	1	2.32043804770193	1
2	2006	2	0.792693965115443	1
2	2006	3	-1.45166122736144	1
2	2006	4	-2.81342923688248	1
2	2007	1	2.80765731542968	1
2	2007	2	1.12291408019796	1
2	2007	3	-0.817820048104272	1
2	2007	4	-3.25350628713524	1
2	2008	1	1.86755447369527	1
2	2008	2	1.18778033730382	1
2	2008	3	-0.719964110194266	1
2	2008	4	-4.07843142879679	1
2	2009	1	1.88867426511562	1
2	2009	2	1.14770470408871	1
2	2009	3	-0.646531065671207	1
2	2009	4	-3.2101931029771	1
2	2010	1	2.1537413413752	1
2	2010	2	1.15423885050354	1
2	2010	3	-0.533414080082363	1
2	2010	4	-2.6392740403066	1
2	2011	1	2.04464217270553	1
2	2011	2	0.966736048956802	1
2	2011	3	-0.892791060135241	1
2	2011	4	-3.69077254405772	1
2	2012	1	2.36408080321695	1
2	2012	2	1.59588878261065	1
2	2012	3	-0.808904346057977	1
2	2012	4	-3.06397491932837	1
2	2013	1	2.06696571815491	1
2	2013	2	1.1467028909491	1
2	2013	3	-0.9357582368337	1
2	2013	4	-3.65800951009016	1
2	2014	1	3.70060481486809	1
2	2014	2	1.66622298603176	1
2	2014	3	-0.763360635376326	1
2	2014	4	-4.01004023513654	1
2	2015	1	2.70393992663367	1
2	2015	2	1.78498935579921	1
2	2015	3	-0.567261004376365	1
2	2015	4	-3.68988291198447	1
2	2016	1	2.83586978856193	1
2	2016	2	1.64704505052213	1
2	2016	3	-0.911764263989657	1
